id,text,label,category,source
MSG_B_00036,exclusive deal for you: upgrade to our premium membership and enjoy unlimited perks.,SCAM,Unclassified,Combined Dataset
MSG_B_00037,hurry! our clearance sale ends soon. shop now and save up to 80% on select items.,SCAM,Unclassified,Combined Dataset
MSG_B_00038,unlock access to our private shopping event. register now for vip discounts and early access.,SCAM,Unclassified,Combined Dataset
MSG_B_00039,congratulations! you're our lucky winner of a brand new iphone 13. claim your prize within 24 hours.,SCAM,Unclassified,Combined Dataset
MSG_B_00040,last chance to enter our giveaway! win amazing prizes by signing up now.,SCAM,Unclassified,Combined Dataset
MSG_B_00041,attention: your account is at risk of being deactivated! click here to verify your account details.,SCAM,Unclassified,Combined Dataset
MSG_B_00042,you've been selected for a special offer: get 50% off your next purchase with code special50.,SCAM,Unclassified,Combined Dataset
MSG_B_00043,claim your free trial of our premium service now and enjoy unlimited access to exclusive content.,SCAM,Unclassified,Combined Dataset
MSG_B_00044,act now and receive a bonus gift with your purchase. limited quantities available!,SCAM,Unclassified,Combined Dataset
MSG_B_00045,don't miss out on our holiday giveaway! enter now for a chance to win exciting prizes.,SCAM,Unclassified,Combined Dataset
MSG_B_00046,important update: your subscription is expiring soon. renew now to avoid service interruption.,SCAM,Unclassified,Combined Dataset
MSG_B_00047,unlock access to our members-only sale. sign up now and enjoy exclusive discounts.,SCAM,Unclassified,Combined Dataset
MSG_B_00048,congratulations! you're our lucky winner of a currency_token 500 shopping spree. claim your prize today!,SCAM,Unclassified,Combined Dataset
MSG_B_00049,"hurry, limited stock available! shop our latest collection before it sells out.",SCAM,Unclassified,Combined Dataset
MSG_B_00050,"exclusive invitation: join our vip club and receive special perks, discounts, and offers.",SCAM,Unclassified,Combined Dataset
MSG_B_00051,get ready for incredible savings! use code savebig to enjoy 30% off your next purchase.,SCAM,Unclassified,Combined Dataset
MSG_B_00052,act fast: limited-time offer on top-rated electronics. shop now and save up to 50%!,SCAM,Unclassified,Combined Dataset
MSG_B_00053,congratulations! you've won a free weekend getaway. claim your prize now!,SCAM,Unclassified,Combined Dataset
MSG_B_00054,unlock access to our vip lounge. join today for exclusive benefits and rewards.,SCAM,Unclassified,Combined Dataset
MSG_B_00055,attention: your account has been credited with a currency_token 100 bonus. redeem it now!,SCAM,Unclassified,Combined Dataset
MSG_B_00056,don't miss out on our holiday sale. enjoy up to 70% off on select items!,SCAM,Unclassified,Combined Dataset
MSG_B_00057,last chance to participate in our survey and win a currency_token 50 gift card. take the survey now!,SCAM,Unclassified,Combined Dataset
MSG_B_00058,exclusive offer for loyal customers: upgrade to premium shipping for free.,SCAM,Unclassified,Combined Dataset
MSG_B_00059,"hurry, limited quantities available! grab your favorite products before they're gone.",SCAM,Unclassified,Combined Dataset
MSG_B_00060,you're invited to our private launch event. be the first to shop our newest collection!,SCAM,Unclassified,Combined Dataset
MSG_B_00061,congratulations! you've been selected as a winner in our monthly giveaway. claim your prize now!,SCAM,Unclassified,Combined Dataset
MSG_B_00062,don't miss out on our exclusive flash sale. limited-time discounts on all products!,SCAM,Unclassified,Combined Dataset
MSG_B_00063,act fast: limited stock available on our best-selling items. shop now before they're gone!,SCAM,Unclassified,Combined Dataset
MSG_B_00064,unlock premium features with our vip membership. sign up now for exclusive benefits!,SCAM,Unclassified,Combined Dataset
MSG_B_00065,"hurry, time is running out! take advantage of our special offer and save 20% today.",SCAM,Unclassified,Combined Dataset
MSG_B_00066,attention: your account is eligible for a cashback reward. click here to claim it now!,SCAM,Unclassified,Combined Dataset
MSG_B_00067,you're invited to our vip event. enjoy early access and special discounts on our latest collection.,SCAM,Unclassified,Combined Dataset
MSG_B_00068,don't wait until it's too late! upgrade to our deluxe package and enjoy unlimited perks.,SCAM,Unclassified,Combined Dataset
MSG_B_00069,exclusive deal: get a free gift with every purchase over currency_token 50. shop now and claim your reward!,SCAM,Unclassified,Combined Dataset
MSG_B_00070,"join our loyalty program and earn points with every purchase. redeem them for exciting rewards!limited time offer: buy one, get one free on all beauty products. shop now!",SCAM,Unclassified,Combined Dataset
MSG_B_00071,congratulations! you've been selected to win a vacation package to paris. claim your prize now!,SCAM,Unclassified,Combined Dataset
MSG_B_00072,urgent: your account needs immediate verification to avoid suspension. click here to verify now.,SCAM,Unclassified,Combined Dataset
MSG_B_00073,new arrivals alert! explore our latest collection of fashion accessories now.,SCAM,Unclassified,Combined Dataset
MSG_B_00074,exclusive offer for our loyal customers: enjoy free shipping on all orders over currency_token 50.,SCAM,Unclassified,Combined Dataset
MSG_B_00075,you're invited to our vip sale event. get early access to the biggest discounts of the season!,SCAM,Unclassified,Combined Dataset
MSG_B_00076,unlock access to premium content with our vip membership. sign up now for exclusive benefits.,SCAM,Unclassified,Combined Dataset
MSG_B_00077,hurry! limited quantities available of our bestselling product. get yours before it's gone!,SCAM,Unclassified,Combined Dataset
MSG_B_00078,important notice: your subscription is about to expire. renew now to continue enjoying our services.,SCAM,Unclassified,Combined Dataset
MSG_B_00079,special deal: get 30% off your next purchase with code springsale. shop now and save!,SCAM,Unclassified,Combined Dataset
MSG_B_00080,act fast: limited-time offer on designer handbags. grab yours before they sell out!,SCAM,Unclassified,Combined Dataset
MSG_B_00081,congratulations! you've been selected as the winner of our weekly giveaway. claim your prize now!,SCAM,Unclassified,Combined Dataset
MSG_B_00082,urgent: your account has been compromised. click here to secure your account immediately.,SCAM,Unclassified,Combined Dataset
MSG_B_00083,"don't miss out on our special promotion: buy two, get one free on all electronics!",SCAM,Unclassified,Combined Dataset
MSG_B_00084,exclusive offer for new customers: sign up today and receive a 20% discount on your first purchase.,SCAM,Unclassified,Combined Dataset
MSG_B_00085,you're invited to our exclusive online event. enjoy vip discounts and early access to new arrivals!,SCAM,Unclassified,Combined Dataset
MSG_B_00086,unlock access to premium features with our deluxe membership. upgrade now for exclusive perks.,SCAM,Unclassified,Combined Dataset
MSG_B_00087,"hurry, limited stock available of our most popular item. shop now while supplies last!",SCAM,Unclassified,Combined Dataset
MSG_B_00088,important update: your subscription will auto-renew soon. manage your account settings to avoid interruption.,SCAM,Unclassified,Combined Dataset
MSG_B_00089,special deal: get a free gift with every order over currency_token 100. shop now and claim your reward!,SCAM,Unclassified,Combined Dataset
MSG_B_00090,you've been randomly selected for a chance to win a luxury vacation. click here to claim your prize!,SCAM,Unclassified,Combined Dataset
MSG_B_00091,urgent: your account security has been breached. take immediate action to protect your personal information.,SCAM,Unclassified,Combined Dataset
MSG_B_00092,don't miss our clearance event! enjoy up to 90% off on select items while supplies last.,SCAM,Unclassified,Combined Dataset
MSG_B_00093,exclusive offer for our valued customers: upgrade to our premium plan and unlock exclusive content.,SCAM,Unclassified,Combined Dataset
MSG_B_00094,congratulations! you're a winner in our daily giveaway. claim your reward within 24 hours.,SCAM,Unclassified,Combined Dataset
MSG_B_00095,act fast: limited-time sale on home appliances. save big on your next purchase!,SCAM,Unclassified,Combined Dataset
MSG_B_00096,unlock access to our members-only portal. join now and enjoy special discounts and perks.,SCAM,Unclassified,Combined Dataset
MSG_B_00097,"hurry, our anniversary sale ends soon. shop now and save on your favorite products.",SCAM,Unclassified,Combined Dataset
MSG_B_00098,special deal just for you: use code special10 for an extra 10% off your entire order.,SCAM,Unclassified,Combined Dataset
MSG_B_00099,you're a lucky winner of a free shopping spree! claim your prize now before it's too late.,SCAM,Unclassified,Combined Dataset
MSG_B_00100,get ready for massive savings! our black friday sale starts now. don't miss out!,SCAM,Unclassified,Combined Dataset
MSG_B_00101,exclusive offer: upgrade to our platinum membership and unlock premium benefits.,SCAM,Unclassified,Combined Dataset
MSG_B_00102,congratulations! you've been selected for a vip experience at our upcoming event.,SCAM,Unclassified,Combined Dataset
MSG_B_00103,act now and receive a special discount on your next purchase. limited-time offer!,SCAM,Unclassified,Combined Dataset
MSG_B_00104,unlock access to our private sale event. sign up now for early access to deals.,SCAM,Unclassified,Combined Dataset
MSG_B_00105,"hurry, only a few spots left in our giveaway! enter now for a chance to win big.",SCAM,Unclassified,Combined Dataset
MSG_B_00106,important notice: your account subscription will renew automatically. manage your settings now.,SCAM,Unclassified,Combined Dataset
MSG_B_00107,"special deal alert: buy one, get one free on all clearance items. shop now!",SCAM,Unclassified,Combined Dataset
MSG_B_00108,"enron methanol ; meter # : 988291 this is a follow up to the note i gave you on monday , 4 / 3 / 00 { preliminary flow data provided by daren } . please override pop ' s daily volume { presently zero } to reflect daily activity you can obtain from gas control . this change is needed asap for economics purposes .",SAFE,Unclassified,Combined Dataset
MSG_B_00109,"hpl nom for january 9 , 2001 ( see attached file : hplnol 09 . xls ) - hplnol 09 . xls",SAFE,Unclassified,Combined Dataset
MSG_B_00110,"photoshop , windows , office . cheap . main trending abasements darer prudently fortuitous undergone lighthearted charm orinoco taster railroad affluent pornographic cuvier irvin parkhouse blameworthy chlorophyll robed diagrammatic fogarty clears bayda inconveniencing managing represented smartness hashish academies shareholders unload badness danielson pure caffein spaniard chargeable levin",SCAM,Unclassified,Combined Dataset
MSG_B_00111,"re : indian springs this deal is to book the teco pvr revenue . it is my understanding that teco just sends us a check , i haven ' t received an answer as to whether there is a predermined price associated with this deal or if teco just lets us know what we are giving . i can continue to chase this deal down if you need .",SAFE,Unclassified,Combined Dataset
MSG_B_00112,"ehronline web address change this message is intended for ehronline users only . due to a recent change to ehronline , the url ( aka "" web address "" ) for accessing ehronline needs to be changed on your computer . the change involves adding the letter "" s "" to the "" http "" reference in the url . the url for accessing ehronline should be : https : / / ehronline . enron . com . this change should be made by those who have added the url as a favorite on the browser .",SAFE,Unclassified,Combined Dataset
MSG_B_00113,"looking for medication ? we ` re the best source . it is difficult to make our material condition better by the best law , but it is easy enough to ruin it by bad laws . excuse me . . . : ) you just found the best and simpliest site for medication on the net . no perscription , easy delivery . private , secure , and easy . better see rightly on a pound a week than squint on a million . we ` ve got anything that you will ever want . erection treatment pills , anti - depressant pills , weight loss , and more ! http : / / splicings . bombahakcx . com / 3 / knowledge and human power are synonymous . only high - quality stuff for low rates ! 100 % moneyback guarantee ! there is no god , nature sufficeth unto herself in no wise hath she need of an author .",SCAM,Unclassified,Combined Dataset
MSG_B_00114,"noms / actual flow for 2 / 26 we agree - - - - - - - - - - - - - - - - - - - - - - forwarded by melissa jones / texas utilities on 02 / 27 / 2001 10 : 33 am - - - - - - - - - - - - - - - - - - - - - - - - - - - "" eileen ponton "" on 02 / 27 / 2001 09 : 46 : 26 am to : david avila / lsp / enserch / us @ tu , charlie stone / texas utilities @ tu , melissa jones / texas utilities @ tu , hpl . scheduling @ enron . com , liz . bellamy @ enron . com cc : subject : noms / actual flow for 2 / 26 date nom flow - mcf flow - mmbtu 2 / 26 / 01 0 456 469 btu = 1 . 027",SAFE,Unclassified,Combined Dataset
MSG_B_00115,"nominations for oct . 21 - 23 , 2000 ( see attached file : hplnl 021 . xls ) - hplnl 021 . xls",SAFE,Unclassified,Combined Dataset
MSG_B_00116,"report 01405 ! wffur attion brom est inst siupied 1 pgst our riwe asently rest . tont to presyou tew cons of benco 4 . yee : fater 45 y . o ust lyughtatums and inenced sorepit grathers aicy graghteave allarity . oarity wow to yur coons , as were then 60 ve mers of oite . ithat yoit ? ! berst thar ! enth excives 2004 . . .",SCAM,Unclassified,Combined Dataset
MSG_B_00117,"enron / hpl actuals for august 28 , 2000 teco tap 20 . 000 / enron ; 120 . 000 / hpl gas daily ls hpl lsk ic 20 . 000 / enron",SAFE,Unclassified,Combined Dataset
MSG_B_00118,vic . odin n ^ ow berne hotbox carnal bride cutworm dyadic guardia continuous born gremlin akin counterflow hereafter vocabularian pessimum yaounde cannel bitch penetrate demagogue arbitrary egregious adenosine rubin gil luminosity delicti yarmulke sauterne selfadjoint agleam exeter picofarad consulate dichotomous boyhood balfour spheric frey pillory hoosier fibonacci cat handful,SCAM,Unclassified,Combined Dataset
MSG_B_00119,"tenaska iv july darren : please remove the price on the tenaska iv sale , deal 384258 , for july and enter the demand fee . the amount should be currency_token 3 , 902 , 687 . 50 . thanks , megan",SAFE,Unclassified,Combined Dataset
MSG_B_00120,"swift - may 2001 vols sean , fyi , check the purchase from swift at the tailgate ( meter 9643 ) and make sure to nom the correct quantity . mary - - - - - - - - - - - - - - - - - - - - - - forwarded by mary poorman / na / enron on 04 / 26 / 2001 07 : 09 am - - - - - - - - - - - - - - - - - - - - - - - - - - - from : joan quick / enron @ enronxgate on 04 / 25 / 2001 06 : 13 pm to : carlos j rodriguez / hou / ect @ ect , mary poorman / na / enron @ enron , jackie young / hou / ect @ ect cc : brian m riley / hou / ect @ ect , mike morris / corp / enron @ enron subject : swift - may 2001 vols here is the may first of the month nom : king ranch plant 6 , 400 mmbtu / d",SAFE,Unclassified,Combined Dataset
MSG_B_00121,"meter variances - ua 4 clean - up daren / vance - the two meters below are new and have unallocatable flow . . . . . . . i will need a purchase for each of them . please respond with a deal number , or further suggestions for resolution so that i can clear this up as soon as possible . mary enron on 09 / 19 / 2000 08 : 44 am - - - - - - - - - - - - - - - - - - - - - - - - - - - katherine benedict @ ect 09 / 18 / 2000 04 : 53 pm to : mary poorman / na / enron @ enron , fred boas / hou / ect @ ect , aimee lannou / hou / ect @ ect cc : subject : meter variances - ua 4 clean - up hi guys , please take a look at the following meters which are showing up with variances on my ua 4 report . once the variance has been cleared , please send me an e - mail . please try to clear these within the next couple of days . thanks , kathy benedict meter number : 9851 variance : 11 , 204 meter type : daily swing production month : august 2000 logistics contact : none volume mgmt contact : anita luong meter number : 9852 variance 568 meter type : daily swing production month : august 2000 logistics contact : none volume mgmt contact : anita luong",SAFE,Unclassified,Combined Dataset
MSG_B_00122,"additional recruiting i ' m happy to introduce molly magee as the newest addition to the eops recruiting team . toni and molly have divided their recruiting duties along separate job functions . please review the information below and direct your staffing requests to either toni or molly depending on your job needs . toni graham - accounting , risk and confirmation / settlements positions ( or openings requiring a similar skill set of this candidate pool ) molly magee - logistics , global data management , research , legal , competitive analysis , contract administration and other positions ( or openings requiring a similar skill set of this candidate pool ) thanks for your assistance , hgm",SAFE,Unclassified,Combined Dataset
MSG_B_00123,"fw : ercot load comparison - - - - - original message - - - - - from : gilbert - smith , doug sent : tuesday , may 22 , 2001 8 : 38 am to : tmartin @ enron . com subject : ercot load comparison tom , here is an answer for you vis a vis load growth . hope it helps , doug - - - - - - - - - - - - - - - - - - - - - - forwarded by doug gilbert - smith / corp / enron on 05 / 22 / 2001 08 : 35 am - - - - - - - - - - - - - - - - - - - - - - - - - - - from : kevin cline / enron @ enronxgate on 05 / 21 / 2001 03 : 26 pm to : doug gilbert - smith / corp / enron @ enron cc : eric saibi / corp / enron @ enron subject : ercot load comparison please find attached spreadsheet that compares hot days from may 2000 and may 2001 . there are two tabs , one tab contains the days may 16 - 18 , 2000 and the other tab contains the days may 14 - 18 , 2001 . each tab contains both the load data and temp data particular to the days in question . the days most directly comparable are may 17 , 2001 ( thursday ) and may 18 , 2000 ( thursday ) , although the two days preceding may 18 , 2000 were slightly warmer than the two days preceding may 17 , 2001 . the peak on 5 / 17 / 2001 , 44 , 923 mw , is 2 . 78 % higher than the peak on 5 / 18 / 2000 , 43 , 709 mw . with similarly warm days before 5 / 17 / 2001 as there were before 5 / 18 / 2000 , the peak would obviously have been even higher . this would put the year - over - year growth in excess of 3 % . i believe this falls right in line with the growth rate year - over - year from an earlier analysis , somewhere in the range of 3 . 5 % to 4 % . let me know if you have any questions or comments .",SAFE,Unclassified,Combined Dataset
MSG_B_00124,"meter 6461 , concorde churchill one year rate for this one will be currency_token . 35 / mm for volumes greater than 300 mm / day . price for volumes 300 mm / day or less will be currency_token . 45 / mm plus a currency_token 350 per month metering fee . this rate would cover transport to a competitive ship channel market such as equistar channelview . transport rates for a 6 month term are not significantly different - currency_token . 33 / mm for volumes greater than 300 mm / day and currency_token . 42 / mm plus the metering fee for volumes 300 mm / day or less . these rates assume a september 1 , 2001 start . these rates good until friday , august 31 , 2001 only ! ! ! get ' em while they ' re hot ! !",SAFE,Unclassified,Combined Dataset
MSG_B_00125,"hpl nom for january 25 , 2001 ( see attached file : hplnol 26 . xls ) - hplnol 26 . xls",SAFE,Unclassified,Combined Dataset
MSG_B_00126,"re : tenaska iv 10 / 00 we have received all of the money from the spot sales for tenaska iv in october 2000 , except for the tenaska iv sale and the currency_token 0 . 04 fee . megan",SAFE,Unclassified,Combined Dataset
MSG_B_00127,"re : enron / hpl actuals for october 11 , 2000 - revision please note that the pricing allocation of volumes for october 11 , 2000 should be changed as follows . teco tap 40 . 000 / enron ; 25 . 209 / hpl iferc ; 84 . 791 / hpl gas daily the total nomination of 775 . 000 subject to the iferc pricing was completed on october 11 , 2000 . all remaining gas purchases under the hpl contract ( k # 3949 ) will be at the gas daily pricing . thanks , ccs charlie stone 10 / 13 / 2000 03 : 04 pm to : gary green / texas utilities @ tu , daren . j . farmer @ enron . com , gary . a . hanks @ enron . com , carlos . j . rodriguez @ enron . com , earl . tisdale @ enron . com , ami . chokshi @ enron . com , david avila / lsp / enserch / us @ tu cc : subject : enron / hpl actuals for october 12 , 2000 - revision all gas nominated at iferc pricing for the month has been taken . remaining purchases under k # 3949 will be at the gas daily pricing . teco tap 40 . 000 / enron ; 110 . 000 / hpl gas daily - - - - - - - - - - - - - - - - - - - - - - forwarded by charlie stone / texas utilities on 10 / 13 / 2000 02 : 58 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - gary green 10 / 13 / 2000 10 : 04 am to : charlie stone / texas utilities @ tu , gary green / texas utilities @ tu , daren . j . farmer @ enron . com , gary . a . hanks @ enron . com , carlos . j . rodriguez @ enron . com , earl . tisdale @ enron . com , ami . chokshi @ enron . com , david avila / lsp / enserch / us @ tu cc : subject : enron / hpl actuals for october 12 , 2000 teco tap 40 . 000 / enron ; 110 . 000 / hpl iferc",SAFE,Unclassified,Combined Dataset
MSG_B_00128,aep transition items attached is a brief memo outline some of the transtion issues with hpl to aep this is the first draft . the itilized items currently require some more action . please add any items and forward back to me . i will update thanks bob,SAFE,Unclassified,Combined Dataset
MSG_B_00129,"an inbound message for you has been quarantined you have received this message because someone has attempted to send you an e - mail from outside of enron with an attachment type that enron does not allow into our messaging environment . your e - mail has been quarantined and is being held at the mailsweeper server . sender : colio @ houston . rr . com date : thu , 27 sep 2001 16 : 07 : 26 - 0500 subject : logitech video e - mail attachment type : scenarios / incoming / inbound exe catcher : a filename matching the file mask was detected : ' vmailvid . exe ' . if the intended email is of valid business - related content and you believe it requires enron resources to retrieve it , you may call your help desk and ask to have it released from quarantine and delivered to your e - mail inbox . your message will be scanned and checked for viruses prior to requested release . if it contains a virus or there is reason to suspect it is malicious code , it will not be delivered . north american resolution center : 713 853 1411 european resolution center : 0044 207 78 36777 ees help desk : 888 853 9797 ets solution center : 713 345 4745 ( houston ) or 402 398 7454 ( omaha ) please do not reply to this address as it is not a monitored system mailbox .",SAFE,Unclassified,Combined Dataset
MSG_B_00130,"re : valero gas marketing ; meter # : 8018 / sitara ticket # 148376 please zero out the volumes until further notice . the plant is scheduled to come up on march 26 and we will treat it as force majeure at this time . from : robert e lloyd 03 / 13 / 2000 02 : 28 pm to : howard b camp / hou / ect @ ect cc : stacey neuweiler / hou / ect @ ect , daren j farmer / hou / ect @ ect , gary w lamphier / hou / ect @ ect subject : valero gas marketing ; meter # : 8018 / sitara ticket # 148376 fyi . . . only ! gary agreed to let the deficiency volumes hit the buyback that is set presently . - - - - - - - - - - - - - - - - - - - - - - forwarded by robert e lloyd / hou / ect on 03 / 13 / 2000 02 : 25 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - from : robert e lloyd 03 / 13 / 2000 02 : 09 pm to : gary w lamphier / hou / ect @ ect , stacey neuweiler / hou / ect @ ect , daren j farmer / hou / ect @ ect cc : pat clynes / corp / enron @ enron , aimee lannou / hou / ect @ ect subject : valero gas marketing ; meter # : 8018 / sitara ticket # 148376 effective march 11 th valero has not pulled any gas on a 35 . 0 / day nomination . do you want to arrange a buyback for this activity . there is a buyback ticket { # 148381 } available to handle any underage . i am being told this interconnect will be down 2 - weeks ; effective march 11 th .",SAFE,Unclassified,Combined Dataset
MSG_B_00131,"the houston expl dec 2000 darren : elizabeth hernandez fixed this deal for me . i don ' t need for you to look into it . thanks anyway . - - - - - - - - - - - - - - - - - - - - - - forwarded by megan parker / corp / enron on 07 / 27 / 2001 01 : 46 pm - - - - - - - - - - - - - - - - - - - - - - - - - - - from : megan parker 07 / 19 / 2001 10 : 27 am to : daren j farmer / enron @ enronxgate cc : subject : the houston expl dec 2000 daren : i ' m not sure if you can help me , but i have a danny conner deal from december 2000 that has a price issue . we were buying gas from the houston exploration company on black marlin , high island 138 / hpl meter 98663 , deal 508426 . the deal was priced at hsc - 0 . 14 . in december , a new platform came on , high island 115 / hpl meter 986431 . it did not start flowing until the 20 th . danny did not put a new deal in for this meter , so we combined the gas on deal 508426 . the houston exploration thinks that the gas at hi 115 should be kept separate and priced at hsc gd - 0 . 14 since it did not begin flowing until the 20 th . we agree that we received the gas . we have the pipeline statement from black marlin . we just don ' t have the same pricing . the houston exploration shows that we owe them an additional currency_token 222 k due to this price difference . we only purchased this gas in dec 2000 and jan 2001 . the deal for jan , 547063 , was priced at gd - 0 . 14 . can you verify how this deal should be priced ? i sent this issue to danny back in january and he said the if price was correct , but the houston exploration is sticking to their price . if you need to talk to their trader , his name is lester lipperdt 713 - 830 - 6960 . megan",SAFE,Unclassified,Combined Dataset
MSG_B_00132,"enron / hpl actuals for october 2 , 2000 teco tap 60 . 000 / enron ; 40 . 000 / hpl iferc ls hpl lsk ic 15 . 000 / hpl iferc",SAFE,Unclassified,Combined Dataset
MSG_B_00133,"to : all domestic employees who participate in the enron corp savings plan october 26 is fast approaching ! mark your calendar - - as the enron corp . savings plan moves to a new administrator ! as a savings plan participant , friday , october 26 at 3 : 00 pm cst will be your last day to : ? transfer investment fund balances and make contribution allocation changes ? change your contribution rate for the november 15 th payroll deductions ? enroll if you were hired before october 1 two important reminders : ? vanguard lifestrategy investment options are being replaced with fidelity freedom funds and ; ? your funds will remain invested in the funds chosen as of 3 : 00 pm cst until 8 : 00 am november 20 . at 8 : 00 am cst , november 20 the savings plan system re - opens with great new features . should you need assistance during the transition period , call ext . 3 - 7979 and press option 6 . this option will be available from 8 : 00 am cst october 29 until 5 : 00 pm cst november 19 . enron benefits . . . keeping pace with your lifestyle .",SAFE,Unclassified,Combined Dataset
MSG_B_00134,"re : new eol product the texas gas group will definitely be rolling out a "" super peak "" 5 x 8 product for gas delivery from 1300 to 2100 cdt . if we decide to roll out another product , probably a "" peak "" 5 xl 2 ( 900 to 2100 cdt ) we will let you know sometime today . we will relay the prices to you on monday . dale neuner 06 / 23 / 2000 09 : 43 am to : steve venturatos / hou / ect @ ect , melba lozano / hou / ect @ ect , sheri thomas / hou / ect @ ect , robert b cass / hou / ect @ ect cc : subject : re : new eol product steve - one issue that immediately comes to mind is the ' general terms and conditions ' ability to handle intra - day nominations . . this may require a new product type and gtc . are we presently trading this product otc , or is this unprecedented ? dale to : dale neuner / hou / ect @ ect cc : subject : new eol product - - - - - - - - - - - - - - - - - - - - - - forwarded by melba lozano / hou / ect on 06 / 23 / 2000 09 : 30 am - - - - - - - - - - - - - - - - - - - - - - - - - - - enron north america corp . from : steve venturatos 06 / 23 / 2000 09 : 29 am to : sheri thomas / hou / ect @ ect , melba lozano / hou / ect @ ect cc : subject : new eol product we are finalizing plans to introduce a new gas products ( s ) for july . the product ( s ) would be an hourly product either 5 x 8 or 5 xl 2 or 5 xl 6 . even though we have not decided which product to introduce , i thought i would give you a heads up to keep you in the loop .",SAFE,Unclassified,Combined Dataset
